DTW,DistanceNormalization,FeatureNormalization,Clustering,Feature,SteelPenny,RobinsonFoulds
DTW-D,by-max,MMVN,UPGMA,BFCC,0.427910301081033,841.735343330958
DTW-D,by-max,MMVN,WPGMA,BFCC,0.431028321272224,775.685948859169
DTW-D,by-max,MMVN,UPGMC,BFCC,0.563789868667917,1533.19953562191
DTW-D,by-max,MMVN,WPGMC,BFCC,0.612489949075315,1406.16793669431
DTW-D,by-max,MMVN,Ward,BFCC,0.393558474046279,528.021823989799
DTW-D,by-max,MMVN,NJ,BFCC,0.305521307960332,554.67610665556
DTW-D,by-max,MMVN,Single,CQCC,0.526873939069061,1239.8040060119
DTW-D,by-max,MMVN,Complete,CQCC,0.280461002412222,589.311245129657
DTW-D,by-max,MMVN,UPGMA,CQCC,0.358599124452783,689.064691214243
DTW-D,by-max,MMVN,WPGMA,CQCC,0.355883141248995,680.455954139977
DTW-D,by-max,MMVN,UPGMC,CQCC,0.546734566246761,1435.89030519305
DTW-D,by-max,MMVN,WPGMC,CQCC,0.571687661931564,1307.5795548095
DTW-D,by-max,MMVN,Ward,CQCC,0.387894219601537,636.963379420412
DTW-D,by-max,MMVN,NJ,CQCC,0.266729205753596,460.799779491884
DTW-D,by-max,MMVN,Single,GFCC,0.655356026087733,1279.13402121088
DTW-D,by-max,MMVN,Complete,GFCC,0.386705976949879,619.858269351699
DTW-D,by-max,MMVN,UPGMA,GFCC,0.391298132761547,763.478739495604
DTW-D,by-max,MMVN,WPGMA,GFCC,0.349289734655588,731.954611423834
DTW-D,by-max,MMVN,UPGMC,GFCC,0.582229965156794,1426.45663046975
DTW-D,by-max,MMVN,WPGMC,GFCC,0.524640400250156,1320.5129428968
DTW-D,by-max,MMVN,Ward,GFCC,0.414964710086661,576.246079342372
DTW-D,by-max,MMVN,NJ,GFCC,0.278656303046547,548.953348197488
DTW-D,by-max,MMVN,Single,IMFCC,0.532761547395694,1257.24112062235
DTW-D,by-max,MMVN,Complete,IMFCC,0.390994371482176,733.248536148778
DTW-D,by-max,MMVN,UPGMA,IMFCC,0.357652103993567,699.687957713955
DTW-D,by-max,MMVN,WPGMA,IMFCC,0.315911730545877,729.474599591258
DTW-D,by-max,MMVN,UPGMC,IMFCC,0.576735459662289,1533.19953562191
DTW-D,by-max,MMVN,WPGMC,IMFCC,0.551165907263468,1404.05740021816
DTW-D,by-max,MMVN,Ward,IMFCC,0.433172518538372,581.247797262436
DTW-D,by-max,MMVN,NJ,IMFCC,0.346868578575896,613.070277019681
DTW-D,by-max,MMVN,Single,LFCC,0.412570356472795,1022.82834634437
